,content,url
0,"It was a quiet week for Frax with nothing major externally to drive the narrative in either direction. If you’ve been watching Frax Check, you would know that the fundamentals have been improving and the community is getting excited for the upcoming Shanghai upgrade. In this week’s review, we’re covering governance on governance on governance.  DeFi Dave’s brainchild passed with flying colors this week and will start a new era of incentivized Frax based educational content. If you are interested in making content, below is the reward structure and we will be coming out with further instructions next week (stay tuned!) In what has turned into a questionable outcome, the DAO has voted against unlocking sdETH LPs. The issue is contentious because almost all the liquidity for the pair is locked for 2-3 years.  The main issue though is that LPs should have known the risks of locking. So while Frax has kept their side of the bargain to maintain the peg and provide FXS rewards, its StakeDAO’s fault for discontinuing the product. No money is at risk and the pool is still earning a 3.5% yield in FXS. So if they want to unlock, a rage tax will likely have to be added.  ",https://flywheeloutput.com/p/this-week-in-frax-april-1st-7th
1,"This week, we snagged an interview with Manifold Finance after they announced the upcoming launch of mevETH. Head of BD James sat broke down their new LSD primitive and how it’s different from the rest. We’re excited to see how Manifold blends in their existing tech stack to find higher yields for stakers. Manifold Finance is middleware infrastructure that functions as an intermediary between Ethereum users and validators. Manifold’s goal is to own the entire infra stack for collecting, relaying and executing transactions to deliver the highest return on investment (ROI), thus aiding the creation of Maximal Extractable Value (MEV) by functioning as an efficient block builder. They are a key part of the Ethereum network operations, as they sort transactions typically with the goal of building blocks with the highest MEV. Advanced on-chain actors known as ""searchers"" have devised a method to exploit your transactions at your expense, known as Maximal Extractable Value or MEV. This practice involves ""frontrunning"" and ""backrunning,"" where the searcher puts in an order before you and then profits from any price slippage caused by your trade. Together, both these practices are referred to as a ""sandwich attack"" and can lead to a considerable loss of funds, running into thousands or even millions of dollars. Currently, Manifold processes transactions through its products OpenMEV and SecureRPC. The former protects users from MEV attacks and takes advantage of MEV opportunities to return funds to users. The latter is open infrastructure for transaction routing and execution. The missing piece so far has been the validation stage. While Manifold is able to relay and route transactions, block building was left to other services. The addition of mevETH will allow Manifold to own their entire infra stack and use their middleware technology to maximize return across all transactions. By using SecureRPC, your transaction is sent to Manifold who builds the highest value block, by discovering which searchers will bid the highest to execute backruns. Manifold runs a MEV market that finds the most optimal and a rebate is paid to the user. We think so. But it’s too early to tell and we will have to wait for mevETH’s launch.  Manifold Finance website Twitter James’ Twitter Gm Gm, Really loving this piece and the work you do here. I also run a web3 news substack for underrepresented creators called Facesofweb3. Would you be open to a recommendation exchange? Our subscribers need to be able to find each other! Great job, once again!",https://flywheeloutput.com/p/manifold-finance-meveth-interview
2,"Check out the full interview for all of Surfer’s insights. Like many, DeFi Surfer originally was a Bitcoin Maxi when he first got into crypto. Yet as time went on, he became more interested in Ethereum due to the fact that applications could be built on top of it. Reflecting on his journey, he was open about the hurdles of interacting with the world on-chain whether it was self-custody or being comfortable confirming transactions on Metamask.   It is because of these obstacles that he thinks their will be a huge opportunity for exchanges like Binance and Coinbase are best suited to abstract away the complexities of these decentralized systems for their customers. In his words “Coinbase could be the freeway into Web 3.” Already, these organizations have launched their own chains (BNB, Base) and through its resources could leverage their positions as on/off ramps into crypto to funnel users there.  With the recent Arbitrum airdrop having taken place, it brought a lot of attention again to L2s. Yet, what has differentiated Arbitrum from its peers is how they have done a phenomenal job organically attracting a a builder-first community which has in turn made it one of the hubs of innovation within DeFi. GMX has been Arbitrum’s killer app who’s primitives such as GLP have been the most popular to build on top of. By creating a flywheel of attracting apps that people want to use, users and liquidity becomes stickier and stickier. Even as the bear market has dropped TVLs by a large margin, Arbitrum has been one of the few L2s/alt-L1s that has legitimate adoption. The entire collapse of Silvergate was “frustrating” for DeFiSurfer, as they were providing a number of services for crypto companies. He believes that the primary cause of their downfall was their close relationship with none other than FTX who’s collapse sent shockwaves throughout the industry. When the exchange went under, it “spooked” their deposit base and sent them running to other institutions. Silvergate went from 14bn in deposits to 0 in the course of 5 months. It’s a crazy “fear-driven situation” that was originally sparked by the malfeasance of SBF. Furthermore, rising interest rates are likely to have pushed many to seek new opportunities outside of Silvergate. Towards the end of the interview Surfer’s brought up his main concern with Frax…. how could they maintain an operation at its current scale with its core team in the single digits? Compared to Coinbase or Binance which collectively employee thousands of people, it makes an outsider wonder how competiting with them would be feasible unless the Frax DAO boasted similar numbers? Well, the answer is simple, the smart contract handles most of the work and one elite DeFi dev is worth a priceless amount compared 10 average devs.  Surfer may have a point though that Frax does need more builders not on the core team but contributing in the ecosystem. Hackathons and other incentive programs could be the answer to motivate builders to build on Frax and integrate them into their projects. Not financial or tax advice. This article is strictly educational and is not investment advice or a solicitation to buy or sell any assets or to make any financial decisions. This post is not tax advice. Talk to your accountant. Do your own research.",https://flywheeloutput.com/p/4-things-we-learned-from-our-interview
3,"FraxBP at $492M TVL and 113% Of 3Pool — holding above 4 weeks frxETH at 128,274 ETH at 2% WoW Growth — slowest growth so far Profitability for April is $530k — aggregated revenue across AMO As always, we have our flagship stablecoin: $FRAX.  Though there aren’t much news on this front.  The supply has remained flat at $1.045B and the peg ranged from $0.991 to $1.001.  The lower end of the range is concerning but we believe we’re still recovering from the USDC fiasco.  In the markets, we swapped 100M FRAX for USDC and received an exchange rate of 0.9988 — pretty much unchanged from last week’s. There were slight movements on the Collateralization % and Decentralization %.  A minor 50 bps increase in the Collat % and a 3.5% drop in the Decent %.   We’re hoping for the collateralization % to rise to 100% and for the decentralization to increase as well. The FraxBP has a TVL of $491M — the ratio is reverting back to 60/40.  This also means that the exchange rate isn’t the best like it was a few weeks ago.  We have a 221M monthly volume which is a 43% utilization rate.   Fortunately, we are maintaining our stronghold above the 3pool.  We’re currently 113% of the 3Pool.  We were able to hold onto our grounds for the past four weeks.  Additionally, we have the breakdown of each of the pools here.  The TVLs are $493M for FraxBP, $436M for 3Pool, and $384M for Frax3CRV.   frxETH experienced the slowest week-over-week growth at 2% this week.  It currently has 128k ETH and Shanghai is right around the corner.  We’re seeing the split between the sfrxETH and the Curve LP hovering around 2/3 and 1/3, respectively. frxETH is still a stablecoin so we must check the peg.  On the dashboard, it shows 0.9993 but we mustn’t trust a dashboard so we’ll go to the markets.  We conducted a 3.5k frxETH swap for ETH and received an exchange rate of 0.9977.  We want to see the numbers ending in 85 and above.  When looking at the competitive landscape, there’s Lido at the front of the pack with nearly 75% of the market.  Frax is currently fourth on the list with a market share of 1.62% but it has the highest 30-day change of 17.7%.  Though in the yield department, frxETH is at the top of the list with 5.64% versus the closest competitor Stakewise at 4.54%.  Not much changed on the FPI front.  The supply, cap, and treasury TVL all stayed pretty much the same.   But the equity value increased by $200k so the veFPIS holders are happy. The Fraxlend product has been slowly recovering since the USDC depeg but things are nowhere near the level it was.  The collateral value and the supply value is still grinding to get to where it once was.  The utilization rate is also down to 64%.  We want to see this in the high 70s or low 80s.   There’s $70M in TVL for Fraxswap but the impressive part is the volume that it facilitates.  There were $168M volume in March and the top volume pool the past 7 days is the FXS/FRAX pool with nearly $20M.   There was also a quiet week on the AMO front.  We saw an increase of 70 bps.  The Curve AMO increased by $2M, Liquidity increased by nearly $7M (the largest bump), and the Investor AMO increased by $2M as well.  Here we aggregated all the revenue across the AMOs and FPI.  We have $530k in losses from Convex — granted we just paid the bribes and yet to reap the rewards.  We received $14k from the FraxLend AMO from supplying FRAX and we did not receive any fees from liquidation in April so far.  On the FPI front, there’s currently a “loss” of $13.9k but there are over $50k of unclaimed rewards so once those rewards are claimed we can update the figures here. That’s it for this week of Frax Check!  Thanks for reading and see you guys next week.  Not financial or tax advice. This article is strictly educational and is not investment advice or a solicitation to buy or sell any assets or to make any financial decisions. This post is not tax advice. Talk to your accountant. Do your own research.",https://flywheeloutput.com/p/same-same-but-different-again-frax
4,"Frax Finance was initially a hybrid algorithmic stablecoin protocol that proved itself over several years of operation, but it came into the spotlight at the beginning of 2023 with its Liquid Staking Derivative (LSD) product frxETH. With the LSD narrative running rampant, Frax benefited as one of the clear winners due to its innovative two-token system. What frxETH illustrates is how Frax is ultimately a stablecoin protocol with the goals of increasing the monetary premium of its family of stablecoins (FRAX, frxETH, FPI). These stablecoins would be aided in adoption by Frax’s “holy trinity” of DeFi primitives such as Fraxswap and Fraxlend. Most recently, Frax voted to have its flagship stablecoin 100% collateralized, marking the end of an era of partial-collateralization. FRAX’s backing is primarily made up of its AMOs which put its idle USDC collateral to work. Currently, the largest AMO operating today is the Curve AMO which has hundreds of million of dollars in TVL. While the collateral ratio of FXS backing is determined by market forces, Frax’s AMO adjusts supply of FRAX to maintain price stability. This is akin to a central bank conducting open monetary operations for their economy. Frax uses a two-token model, frxETH and sfrxETH, to provide a unique LSD offering. frxETH acts as a stablecoin pegged to ETH and does not earn any yield, whereas sfrxETH receives all yield from staking. Frax’s governance token FXS uses Curve’s ve token lockup model, dubbed veFXS. Currently, 41.22% of the supply is locked up. Like Curve, FXS gauges can be bribed. However, current bribe amounts are negligible. veFXS holders are entitled to 100% of AMO revenue and frxETH revenue (not distributed at this time). The current yield for veFXS holder is 1.83% APR. This should increase sharply once Frax beings to distribute frxETH fees. Ethereum Shanghai upgrade will lead to more ETH staked with Frax and higher fees for the protocol. Lido’s ETH staking dominance threatens Ethereum’s security ecosystem and leads to users flocking to other LSD protocols. Frax’s core mission is to build stablecoins and will soon launch frxBTC. Frax plans to replace WETH with frxETH as the primary ETH pairing for LPs. When Frax starts distributing the 8% sfrxETH fees to veFXS holders, it will increase yields significantly. Let's look at a projection for LSD Protocols over the next 2 years. LSD P/S protocol projections in terms of ETH The highlighted P/S ratio for frxETH is a conservative estimate that frxETH might achieve. At the end of 2023 and 4% market share, Frax’s P/S ratio is 1/4 as compared to the current P/S ratio and a value much closer to its competitors. RocketPool has the best P/S due to its high market share and fees, but with Distributed Validator Technology (DVT) being added soon, it seems that the Rocketpool model of decentralized staking might become obsolete. With the potential catalyst mentioned, I am confident that Frax might even outperform the 2024 & 2025 conservative estimates as more products are built out using frxETH. LSD protocols received their fair share of attention during January, but the narrative was cut short due to AI and ZK narratives quickly gaining popularity. Due to the PvP market environment that we are in, LSD protocols were dumped for the next narrative making the rounds on Crypto Twitter. LDO, FXS & RPL underperformed the market during this time. Thus, this might be a good chance to accumulate FXS before the LSD narratives come back in full swing. As Shanghai approaches, all eyes will be on ETH and all of its LSD protocols as the direct beta for the event. Currently, many users are not staking ETH due to the lock-up and peg deviation of staked ETH. Only 14% ETH is staked, while other L1s have greater than 30% staked. With Lido dominating ~30% of the staked ETH supply, it will pose a potential risk that many Ethereum watches have flagged. So while frxETH is the highest-yielding LSD, it could be an attractive choice for many making the switch after Shanghai. The frxETH-ETH LP will be able to handle any outflows immediately after the upgrade, and should scale with future inflows (frxETH Minter). This in turn generates more fees for Frax from both staking and LPing. Frax being the primary stablecoin issuer for ETH and BTC is its biggest bullish factor as to why it will outperform ETH. To replace WETH, Frax will have to create trading pairs with frxETH and incentivise protocols to pair up with frxETH. Frax has the assets (CVX) and a strong reserve of Frax stablecoin that they can fall back on. Using the FRAXBP as ~$700M TVL or the Frax liquidity AMO can mint Frax based on the protocol collateralization ratio to create a flywheel as follows: Once frxETH gets paired with tokens, the above flywheel will play out, resulting in a net positive for the Frax ecosystem. Replacing WETH and WBTC is an extremely tough job, but the Frax team always delivers, as seen from their full suite of products. Betting on FXS is equivalent to betting on the DeFi ecosystem as a whole (FRAX, frxETH, Fraxswap, Fraxlend, Fraxferry (Bridge), FPI). All these products and primitives are part of the Frax ecosystem and will help expand its foothold to other networks. All in all, the main factor why FXS can outperform ETH is due to the attention from Shanghai upgrade and the broader LSD narrative. As frxETH accumulates more market share, Frax will have a healthy source of income, solidifying FXS as a revenue-generating token. ",https://flywheeloutput.com/p/analysis-the-frax-stablecoin-thesis
5,"We’re putting this first because of the importance, but we were SHOCKED when Sam dropped the tweet.  WETHR (see below) had just been posted to Curve forum and no more than 30 min later this tweet rocked our timelines. The hype was real in the Frax TG and Sam K tried to keep it tight lipped, but leaked a few things once he started getting peppered with questions. First, Frax v3 is an upgrade for FRAX the stablecoin. It’s a part of a wider roadmap for the Frax protocol.  Next, Frax v3 is more than just stability mechanism updates. It’s about making Frax safer, especially in light of the events of the last 18 months. We’re really interested to see how Sam is planning to shift Frax away from USDC and other fiatcoins to USD. There’s no current alternatives, so a new solution must be cooking.  He also mentioned on-chain governance, which we he covered in one of our recent interviews. This would allow veFXS holders to veto any multi-sig actions before they get executed.  The switch to USD is not about a master account, its a “pure crypto design for v3,” which might be the most interesting part. How they approach this, we’re going to be covering closely.  Last, user “N” asked the question we all were wondering.  Frax has announced the initial details of its WETH replacement program on the Curve governance forum. First, it asked for new gauges for the following pairs: Once added, these pools will “get FXS bribes through Votium proportional to their TVL using a similar algorithm to the FRAXBP system.” This is the beginnings stages of frxETH’s DeFi takeover of liquidity. If all LSD ETH pairs against frxETH due to the highest yields, Frax wins. We don’t even have to have the highest TVL, but frxETH becomes the core liquidity component required for every LSD. A “flatcoin” is a term first used in a conversation by Sam K and Balaji many years back.  A flatcoin is a stablecoin that is pegged to something other than fiat currency. Last year Frax deployed the first “flatcoin” when it launched FPI. Deploying FPI to Base would require the protocol to create the token and system contracts on the network. The DAO could then vote to open up a Fraxferry channel. Even with FPI being deployed to Base, the collateral backing it would remain on ETH. Deployment of AMO funds into Flux would also go against Frax’s commitment to only hold funds in an FMA. Off-chain assets, while profitable, create centralization risk. A better option for Flux would be to apply for a single sided fFRAX gauge. Individuals could choose for themselves if they wanted to provide liquidity and take on the pool risks.  Sean Kelley asks about the Frax logo in names Sam K answers a question about Fraxferry wait times Sam K responds to front end issues A discussion about FPI maintaining its peg. Sam K gets asked about the Mint Cap for FPI later in the conversation",https://flywheeloutput.com/p/this-week-in-frax
7,"w 20 years on from its launch, internet life is so pervasive that we don’t even think about it anymore. It just is. But the ideas learned from the early days of persistent online gameplay still run deep. If I can buy a $10,000 item in the WoW store at 4am, why can’t I send a similar amount of money from my bank? Madness really. Banks are collapsing, payment rails are under pressure in the wake of Covid-19, the Russian war, and Chinese regional expansion. America’s response to every crisis is further weaponization of the dollar. And while this might achieve short term national strategy objectives, in the long term it dissuades dollar usage abroad and could lead to the end of the dollar over the next century.  This narrative is exactly what Bitcoin bulls have been waiting for. Stress on the banking system and geopolitical tensions should push people into Bitcoin as a flight to safety. We’ve seen some inflows into Bitcoin, as its 80% off of its lows at $15,000, but the next leg up to $100k will require new broader narratives and a fresh path for capital to flow into it.  Ansem makes the point that Bitcoin has to lead in this macro cycle and onwards. While the world burns, Bitcoin should be a flight to safety.  It’s extremely hard to build network security for Alt-L1s. Every new network has to compete for investment and builders to remain competitive. Usually these L1s have massive ecosystem grant pools to dole out to promising builders with the hope of one of them striking it big But we may be in a new regime with the launch of Optimism and Arbitrum tokens. Now builders don’t have to leave Ethereum’s inner circle. Builders can focus on doing what they do best. Security is guaranteed by the base layer. It’s a nice seperation that reduces fees based in ETH. The question now might be “what is the best L2 infra look like?” Is it a generalized roll-up? ZK EVM? modular roll-ups? It’s too early to tell, but these new additions might soon turn other L1s to being less secure side chains against ETH.  Mobile Thesis We have to solve crypto UX for mobile if its ever going to take off. Right now most mobile apps are pretty obtuse to use and require a lot of patience. If crypto is ever going to succeed, we will need better apps so any normie feels right at home.  But there are so many questions when it comes to mobile about security. How are keys supposed to be held? What happens if you lose your phone? What sort of hardware protects your private keys? These are super basic questions that have been solved on desktop/laptops already, but don’t have a great answer for mobile.  Ansem thinks the Solana phone might be a good option or the Saga phone.  Ansem thinks that eventually all countries will hold Bitcoin and other digital assets like the hold gold. While this has been widely discussed in the Bitcoin before, his smart take was that the biggest impact will be countries will start to compete in the mining space to protect their investments.  Nations will be incentivized to running mining operations so that they can maintain the network their assets are on. This might be direct operation of the infrastructure, or providing a means for private entities to do so with added tax breaks for labor and electricity.",https://flywheeloutput.com/p/top-5-takeaways-from-our-interview
8,"FraxBP - 114% of 3Pool, down 4% from last week’s FraxCheck FraxLend - Added two new pairs MKR and APE as well as a new v3 sfrxETH pool AMO - Currently at a loss of $180k, but could potentially be flat this month. Let’s begin with the flagship product: FRAX stablecoin.  The supply remained flat this week.  However, the peg fluctuated violently between 1.002 and 0.991.  When checking the Curve markets, we swapped 100M of FRAX to receive an exchange rate of 0.9989 — not too bad.  We strive for a near 0.998+ exchange rate for similar-stable assets.   The Collateralization percent conveys how much FXS (algorithmic) is used as collateral. We’re unchanged at 92%. Following we have the Decentralize percent, which is also unchanged and are now sitting at 23.9%.  For this week we saw the FraxBP TVL dropped to $487.3M, which is -1.3% from last week. Also, we look at the volume traded. For context, in February we hit 49.3M, and in March we hit 210M – we gained 16M over the last week. This represents a 43% utilization rate. The stablecoin trading volume has been ridiculously profitable for Curve this month.   We are 114% of 3pool. We decreased by 4% since last week. We’re still above 100%! The FraxBasedPool is $487M versus 3pool's $425M. What’s concerning is that the FraxBP dropped $6M and the 3Pool gained $6M. Now, it wasn’t easy to get to the top but now we must stay at the top. Next, we have our FrxETH segment. We start by checking the frxETH supply. As always, it’s up only! The count is at 125,803, +3.9% WoW -- not terrible but we prefer a 5% WoW. Let’s look at where the frxETHs are hanging out! As a reminder, frxETH could be staked into the sfrxETH vault to earn the native ETH staking yield – which is printing a nice 6.4%. And in that vault we see that 62% of the frxETH is chilling and stacking ETH earning a nice native staking yield. The other place frxETH can be put to work is in the curve pool of frxETH/ETH, where 30% of the frxETH supply is currently at. The remainder 8% is floating in the ether somewhere. We think the yield parity between the sfrxETH and Curve pool is reflected in the current split. Unless Frax cranks up the bribes a bit more, we think we’ll see this heavier flow into sfrxETH. But enough talk of the supply and the yield, let’s get down to the peg. Peg check is at a solid 0.9992. Let’s check the market. We tried to swap a 3500 frxETH which is roughly the amount of the largest frxETH holder and we get an exchange rate of 0.9976. Not too bad considering we got as low as 0.9950 two weeks ago. But we still don’t like to see a number 7 there, these are similar assets so the exchange rate should remain above 0.998. Fortunately, the TVL is quite sticky at $121M, still 9 SOLID FIGURES. So far so good, let’s see how we stack up with the other competitors. Here we layout the LSD market landscape. We have Lido in the lead with 74.5% of the market. Though, Frax REMAINED the highest 30-day delta in the group, at +22.2%. FrxETH’s market share is at 1.6%, gained 0.05% over the last week!. Let’s keep fighting the good fight! On the yield landscape, frxETH pretty much dominates with 6.4% and the closest competitor is Stakewise with 4.8%.  Quick refresher, FPI is a Frax Price Index, which is a stablecoin that tracks inflation. This is the first product of its kind on chain. Let’s run through the numbers! So far, we have 82.3M supply of FPI, the current inflation reading is 6.0% and the FPI peg is ABOVE by 0.37% of its mandated peg. The FPI Treasury is used to generate yield to maintain the peg. FPI’s treasury is at $88.3M, which is comprised of FPI, FRAX, and a small percentage holding of FXS. 95% of the treasury is in the FPI/FRAX convex. All these assets are put to work just like in the AMO to earn that needed yield to keep FPI at the inflation peg. These assets managed to produce $4.3M above the amount needed to maintain FPI at the peg, therefore we have what we like to call “equity” for the veFPIS of $4.3M. Next we have our FraxLend section. We remained pretty flat at $143M in TVL with $37M in borrowed FRAX. The Utilization rate increased by 11% from a week ago, now its at 66%. From the two charts, we see that the Supply Value of FRAX just took a nose dive alongside with the Collateral Value but both saw a nice bump, and now flattening. We pretty much hit reset on both of these values and started near the beginning of FraxLend again. Currently, there are many pairs being offered on FraxLend but more and more are being added. Also look at the current highest Supply APY we have none other than the sfrxETH/FRAX pair but note this is the v2 and we’re migrating to v3. Then right behind it is the gOHM/FRAX pair at 8.8%. A little further down the list you see there’s the CRV/FRAX pool with a juicy 7.1% APY. Some new pairs are the MKR and APE pair! The last leg of the Stablecoin Maximalism, the DEX aka FraxSwap. Per DeFi Llama, the TVL is $66M with a 149M monthly volume for March. We took the Monthly volume divided by the TVL to get a utilization rate of 225% — pretty well utilized for a DEX no one knows about. Finally, let’s jump into our profitability section starting with an overview of the AMO holdings.  The grand total of all AMOs is at $916M, we experienced a 0.5% decrease over the last week. The Curve AMO is $623M, Liquidity AMO is at $72M, Lending $85M, and Investor $131M. It’s going to take us quite some time to regain all these assets into the treasury from the shakeout from USDC but Flywheel DeFi will be here every week reporting in on every step of the journey. Onto the profitability of the Convex AMO. For the month of March, we have $1.43M in revenue and $1.6M in bribe expense, which means we are at a loss of $180k for March. The lionshare of the revenue came from CRV at $1.23M, that’s 86% of the Convex AMO revenue.  We believe we may end the month very close to being flat! Will report back next week with the final count. Not financial or tax advice. This article is strictly educational and is not investment advice or a solicitation to buy or sell any assets or to make any financial decisions. This post is not tax advice. Talk to your accountant. Do your own research.",https://flywheeloutput.com/p/finding-our-footing-fraxcheck-32
9,"Hello Mrs. Cathie Wood, The one thing that always bothered me about Bitcoin and all these other cryptos, and forgive me for this, is why don't they find an algorithm that guarantees the value of the unit and lets the quantities vary rather than controlling the quantity of the unit and letting the price vary. People care about price stability over the long run. Yes. When I make a contract with someone for 20 years out, I wanna know what the value of the unit numeraire is gonna be back then. Not the quantity of it. I wanna know the value of it. And why can't these little geniuses, all these people with computers, I have a flip phone. Why can't you guys find some cryptocurrency that has a stable value rather than a quantity, fixed quantity, and that's what just bugs the live and poop outta me about these cryptos. They need a value crypto, not a quantity crypto.  Immediately, upon listening to this I fired off a quick tweet. Now that I have more time after the weekend, and I don't have to look after my kids. I wanted to spend a bit more time to explain Frax and its inflation pegged stablecoin FPI. You refer to Bitcoin as both a money and also an investment. It is able to transfer value, but its value is highly volatile.  Bitcoin is a ""suboptimal"" commodity money as a result. More so, its bad for finance, as it's difficult to draft any type of contract in bitcoin that would project future prices. It's also extremely difficult to imagine large amounts of loans being taken in bitcoin due to its price volatility. Who in the right mind would want to take a loan that could potentially grow in size 20 times by the time it's term ended. Bitcoin alone is just not enough. Demand for fiat money is always going to exist, and it will only grow as bitcoin grows, as fiat money is the best money to take loans with. I wholeheartedly doubt that will ever be able to discharge debt-based fiat money for some alternative, even with all of its unsightly deficiencies. Our greatest fear though, should be a monopolization of money into one single type. Until Bitcoin came along, Cash was the best check against unfettered monetary incursions. Now, Bitcoin also falls into that same roll, simultaneously adversarial and beneficial. Ultimately, Bitcoin does one thing well, which is to be an immutable means of payment on the Internet. I'm just a crypto pleb, and so what I know about economics is mostly derives from Twitter and other random places on the Internet. But what I have been able to gather is that economists think in terms of maximizing the capabilities of individuals and businesses to make rational choices about their future consumption. We need to be able to say with moderate certainty, a defined basket of goods or cost X today, and probably Y tomorrow. If everyone believes this, then it typically happens. It's honestly the strangest thing about economics to me. Everyone talks about inflation, but nobody really understands how it works. There's a deeper level of human psychology, underlying economics, obfuscating, logical outcomes. It's so weird that price increases can become anchored, and that no matter what a government does, or says, people just keep on marking prices up without explanation. Honestly, the entire system is crazy; we have an ever-expanding federal government that desperately is in need of buyers for its debt. Without them, they wouldn't be able to fund any of their operations. To drive demand, they devalue the base currency just a little bit each year and incentivize conditions within commercial banks for private entities to take new loans that hopefully benefit the economy long-term.  It's hard to think about what money would be like if it was disconnected from government. The MMT people naturally assume that money is just a tool the state, that needs to be regulated and controlled. I don't even know if we can imagine a world anymore with an independent money. Maybe this is why the dream of crypto is so alluring. To be able to return to a fable time, a libertarian fantasy, where the state is the functional output of a representative class.  Maybe we just take it for granted, the power of the purse and government’s monopoly on it. We don't really have any viable alternatives to compare and so we're forced to dream of various crypto Ponzi's hoping one finally achieves this vaunted goal. Bitcoin has been able to build a system of money that is completely independent of any government or existing monetary order. It is not captured politically. It is not a tool controlled by anyone. And it makes no assumptions about pricing power or stability. It's just code that anybody can run. Simple. As soon as you move away from this model, towards connecting real life with immutable assets, there are trade-offs that have to be made. Governments are ruthless when it comes to control of their monetary monopoly. Wars have been fought over who will have the right to print. Today, we face these challenges again as stablecoins are pushing the boundaries of what digital money can be. The idea that Mr. Laffer put forward tries to thread the needle between the current form of the dollar and a bond. Both monetary assets have a value, and they're also guaranteed with the full faith in force of government. However, these assets are easily devalued and rely on the steady breeze of political winds to maintain course.  It’s antithetical to the current monetary system to guarantee a fixed value over an extended period of time. It wouldn’t make sense for the government to issue this type of money that tracks, inflation, or a basket of goods, because the monetary authorities must preserve their ability to issue a new specie whenever they didn’t fit. When they do issue inflation protected assets like Treasury Inflation-Protected Securities (TIPS), there are strict limits on how much can be bought and high fees for redeeming early. The closest form that we have to this inflation targeting money in traditional finance, are money market funds. And while they might be a cash like substitute, their values can waver in times of market stress, like during 2008 or 2020. When investors lose faith in the ability of the short term bond market to maintain liquidity money market funds have lost their peg. Additionally, money market funds are a security, making him an extremely poor substitute as a daily payment currency. We need a better solution. Enter FPI by Frax.  Like I mentioned above, FPI is an inflation tracking stablecoin. FPI works pretty simply. You swap your FRAX stablecoin for FPI and the protocol goes out and figures out the best way to earn yield with it. Frax deploys collateral using Automatic Market Operations (AMOs), into a variety of different on-chain protocols and applications across a variety of networks.  It then uses the CPI-U number provided by Chainlink to adjust the FPI peg up or down over the course of a month after its officially released each month. In the future, the idea is to use on-chain voting to determine what’s in the basket of assets its tracking and also its value. As long as Frax can earn a higher amount of yield than inflation FPI will work in the long term. To handle periods of high inflation or when the protocol cannot earn enough yield, FPI has a buffer of reserves that can be drawn from. Currently, there is an excess of $4.4m held by the protocol.  FPI isn’t perfect. You might earn better yield keeping your cash in a MMF. A wave of high inflation might bankrupt the product. Or maybe, Mr. Laffer’s dream currency won’t ever be used by the general public. It’s too early to tell. We can say though for certain that FPI exists, its maintained its peg since launch, and Frax has profited from operating the product almost every month. When the hard cap of $100m is lifted later this year we will see if it can handle the expansion, but I do think the pegged can be maintained at size.",https://flywheeloutput.com/p/dear-cathie-wood-yes-we-have-an-inflation
10,"The buyback fund was authorized after the LUNA collapse of last year. It authorized the protocol to purchase up to $20 million worth of FXS, however only $2 million has been bought at this point. Additionally, new gauges are expected once the FIP passes. This could be the beginning of a new liquidity regime on the L2 network. Our friends at Reserve were very excited this week as the gauge for the eUSD-FRAXBP Curve LP started. In just one week the TVL of the LP sextupled in size to $6 million. Catch up on Reserve with our latest interview with Thomas Mattimore below. Well, the USDC drama caused the markets to go into a tailspin for a weekend, one of the benefits of all of the on-chain activity was that sfrxETH’s yields for this week were absolutely insane. Frax’s validators received more than 80 ETH from MEV and Tips during the calamity. You would have returned to their normal levels, but it is exciting to see how validators will perform in adverse market conditions. C2tP dropped in the chat this past week and announce the launch of cvxFPIS staking. Convex doesn't really know yet how they're going to use the pools because there's not that much documentation in the moment, but the protocol is committed to ensuring some of the highest yields for veFPIS that you can get.",https://flywheeloutput.com/p/this-week-in-frax-march-19-24th-2023
